Name
Allcoin
B2BX
Bancor Network
BCEX
Bibox
BigONE
Binance
Bit-Z
Bitbank
BitBay
BiteBTC
Bitfinex
bitFlyer
BitForex
Bithumb
Bitinka
Bitlish
Bitmex
BitMart
Bitstamp
Bittrex
BTC Markets
BTC-Alpha
BTCBOX
BTCC
BtcTrade.im
BtcTurk
C2CX
CEX.IO
ChaoEX
Coinbase
Coinbase Pro
Coinbe
CoinBene
CoinEgg
Coinhub
Coinone
Coinroom
CoinsBank
Coinsquare
Coinsuper
CoinTiger
CPDAX
Cryptonex
Cryptopia
DigiFinex
DOBI trade
DragonEX
DSX
Ethfinex
Exmo
Exrates
Fatbtc
Gate.io
Gemini
GOPAX
HADAX
HitBTC
Hotbit
Huobi
IDAX
IDCM
IDEX
Indodax
InfinityCoin ...
Instant Bitex
itBit
Korbit
Kraken
Kryptono
Kucoin
LakeBTC
LATOKEN
LBank
Liqui
Livecoin
LocalTrade
MBAex
Mercatox
OEX
OKEx
OOOBTC
Ovis
Paribu
Poloniex
QBTC
Qryptos
QuadrigaCX
Quoine
Rfinex
RightBTC
Simex
Sistemkoin
TDAX
Tidebit
Trade By Trade
UEX
Upbit
Vebitcoin
xBTCe
YoBit
ZB.COM
